Industry Group|SIC|Description
162|1622|Bridge, Tunnel, and Elevated Highway Construction
162|1623|Water, Sewer, Pipeline, and Communications and Power Line Construction
162|1629|Heavy Construction, Not Elsewhere Classified
171|1711|Plumbing, Heating and Air-Conditioning
172|1721|Painting and Paper Hanging
173|1731|Electrical Work
174|1741|Masonry, Stone Setting, and Other Stone Work
174|1742|Plastering, Drywall, Acoustical, and Insulation Work
174|1743|Terrazzo, Tile, Marble, and Mosaic Work
175|1751|Carpentry Work
175|1752|Floor Laying and Other Floor Work, Not Elsewhere Classified
176|1761|Roofing, Siding, and Sheet Metal Work
177|1771|Concrete Work
178|1781|Water Well Drilling
179|1791|Structural Steel Erection
179|1793|Glass and Glazing Work
179|1794|Excavation Work
179|1795|Wrecking and Demolition Work
179|1796|Installation or Erection of Building Equipment, Not Elsewhere
179|1799|Special Trade Contractors, Not Elsewhere Classified
201|2011|Meat Packing Plants
201|2013|Sausages and Other Prepared Meat Products
201|2015|Poultry Slaughtering and Processing
202|2021|Creamery Butter
202|2022|Natural, Processed, and Imitation Cheese
202|2023|Dry, Condensed, and Evaporated Dairy Products
202|2024|Ice Cream and Frozen Desserts
202|2026|Fluid Milk
203|2032|Canned Specialties
203|2033|Canned Fruits, Vegetables, Preserves, Jams, and Jellies
203|2034|Dried and Dehydrated Fruits, Vegetables, and Soup Mixes
203|2035|Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings
203|2037|Frozen Fruits, Fruit Juices, and Vegetables
203|2038|Frozen Specialties, Not Elsewhere Classified
204|2041|Flour and Other Grain Mill Products
204|2043|Cereal Breakfast Foods
204|2044|Rice Milling
204|2045|Prepared Flour Mixes and Doughs
204|2046|Wet Corn Milling
204|2047|Dog and Cat Food
204|2048|Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats
205|2051|Bread and Other Bakery Products, Except Cookies and Crackers
205|2052|Cookies and Crackers
205|2053|Frozen Bakery Products, Except Bread
206|2061|Cane Sugar, Except Refining
206|2062|Cane Sugar Refining
206|2063|Beet Sugar
206|2064|Candy and Other Confectionery Products
206|2066|Chocolate and Cocoa Products
206|2067|Chewing Gum
206|2068|Salted and Roasted Nuts and Seeds
207|2074|Cottonseed Oil Mills
207|2075|Soybean Oil Mills
207|2076|Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean
207|2077|Animal and Marine Fats and Oils
207|2079|Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified
208|2082|Malt Beverages
208|2083|Malt
208|2084|Wines, Brandy, and Brandy Spirits
208|2085|Distilled and Blended Liquors
208|2086|Bottled and Canned Soft Drinks and Carbonated Waters
208|2087|Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified
209|2091|Canned and Cured Fish and Seafoods
209|2092|Prepared Fresh or Frozen Fish and Seafoods
209|2095|Roasted Coffee
209|2096|Potato Chips, Corn Chips, and Similar Snacks
209|2097|Manufactured Ice
209|2098|Macaroni, Spaghetti, Vermicelli, and Noodles
209|2099|Food Preparations, Not Elsewhere Classified
211|2111|Cigarettes
212|2121|Cigars
213|2131|Chewing and Smoking Tobacco and Snuff
214|2141|Tobacco Stemming and Redrying
221|2211|Broadwoven Fabric Mills, Cotton
222|2221|Broadwoven Fabric Mills, Manmade Fiber and Silk
223|2231|Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing)
224|2241|Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk, and Manmade Fiber
225|2251|Women's Full-Length and Knee-Length Hosiery, Except Socks
225|2252|Hosiery, Not Elsewhere Classified
225|2253|Knit Outerwear Mills
225|2254|Knit Underwear and Nightwear Mills
225|2257|Weft Knit Fabric Mills
225|2258|Lace and Warp Knit Fabric Mills
225|2259|Knitting Mills, Not Elsewhere Classified
226|2261|Finishers of Broadwoven Fabrics of Cotton
226|2262|Finishers of Broadwoven Fabrics of Manmade Fiber and Silk
226|2269|Finishers of Textiles, Not elsewhere Classified
227|2273|Carpets and Rugs
228|2281|Yarn Spinning Mills
228|2282|Yarn Texturizing, Throwing, Twisting, and Winding Mills
228|2284|Thread Mills
229|2295|Coated Fabrics, Not Rubberized
229|2296|Tire Cord and Fabrics
229|2297|Non-woven Fabrics
229|2298|Cordage and Twine
229|2299|Textile goods, Not Elsewhere Classified
231|2311|Men's and Boys' Suits, Coats, and Overcoats
232|2321|Men's and Boys' Shirts, Except Work Shirts
232|2322|Men's and Boys' Underwear and Nightwear
232|2323|Men's and Boys' Neckwear
232|2325|Men's and Boys' Separate Trousers and Slacks
232|2326|Men's and Boys' Work Clothing
232|2329|Men's and Boys' Clothing, Not Elsewhere Classified
233|2331|Women's, Misses', and Juniors' Blouses and Shirts
233|2335|Women's, Misses', and Juniors' Dresses
233|2337|Women's, Misses', and Juniors' Suits, Skirts, and Coats
233|2339|Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified
234|2341|Women's, Misses', Children's, and Infants' Underwear and Nightwear
234|2342|Brassieres, Girdles, and Allied Garments
235|2353|Hats, Caps, and Millinery
236|2361|Girls', Children's, and Infants' Dresses, Blouses, and Shirts
236|2369|Girls', Children's, and Infants' Outerwear, Not Elsewhere Classified
237|2371|Fur Goods
238|2381|Dress and Work Gloves, Except Knit and All-Leather
238|2384|Robes and Dressing Gowns
238|2385|Waterproof Outerwear
238|2386|Leather and Sheep-Lined Clothing
238|2387|Apparel belts
238|2389|Apparel and Accessories, Not Elsewhere Classified
239|2391|Curtains and Draperies
239|2392|House furnishing, Except Curtains and Draperies
239|2393|Textile Bags
239|2394|Canvas and Related Products
239|2395|Pleating, Decorative and Novelty Stitching, and Tucking for the Trade
239|2396|Automotive Trimmings, Apparel Findings, and Related Products
239|2397|Schiffli Machine Embroideries
239|2399|Fabricated Textile Products, Not Elsewhere Classified
241|2411|Logging
242|2421|Sawmills and Planing Mills, General
242|2426|Hardwood Dimension and Flooring Mills
242|2429|Special Product Sawmills, Not Elsewhere Classified
243|2431|Millwork
243|2434|Wood Kitchen Cabinets
243|2435|Hardwood Veneer and Plywood
243|2436|Softwood Veneer and Plywood
243|2439|Structural Wood Members, Not Elsewhere Classified
244|2441|Nailed and Lock Corner Wood Boxes and Shook
244|2448|Wood Pallets and Skids
244|2449|Wood Containers, Not Elsewhere Classified
245|2451|Mobile Homes
245|2452|Prefabricated Wood Buildings and Components
249|2491|Wood Preserving
249|2493|Reconstituted Wood Products
249|2499|Wood Products, Not Elsewhere Classified
251|2511|Wood Household Furniture, Except Upholstered
251|2512|Wood Household Furniture, Upholstered
251|2514|Metal Household Furniture
251|2515|Mattresses, Foundations, and Convertible Beds
251|2517|Wood Television, Radio, Phonograph, and Sewing Machine Cabinets
251|2519|Household Furniture, Not Elsewhere Classified
252|2521|Wood Office Furniture
252|2522|Office Furniture, Except Wood
253|2531|Public Building and Related Furniture
254|2541|Wood Office and Store Fixtures, Partitions, Shelving, and Lockers
254|2542|Office and Store Fixtures, Partitions, Shelving, and Lockers, Except Wood
259|2591|Drapery Hardware and Window Blinds and Shades
259|2599|Furniture and Fixtures, Not Elsewhere Classified
261|2611|Pulp Mills
262|2621|Paper Mills
263|2631|Paperboard Mills
265|2652|Setup Paperboard Boxes
265|2653|Corrugated and Solid Fiber Boxes
265|2655|Fiber Cans, Tubes, Drums, and Similar Products
265|2656|Sanitary Food Containers, Except Folding
265|2657|Folding Paperboard Boxes, Including Sanitary
267|2671|Packaging Paper and Plastics Film, Coated and Laminated
267|2672|Coated and Laminated Paper, Not Elsewhere Classified
267|2673|Plastics, Foil, and Coated Paper Bags
267|2674|Uncoated Paper and Multiwall Bags
267|2675|Die-Cut Paper and Paperboard and Cardboard
267|2676|Sanitary Paper Products
267|2677|Envelopes
267|2678|Stationery, Tablets, and Related Products
267|2679|Converted Paper and Paperboard Products, Not Elsewhere Classified
271|2711|Newspapers: Publishing, or Publishing and Printing
272|2721|Periodicals: Publishing, or Publishing and Printing
273|2731|Books: Publishing, or Publishing and Printing
273|2732|Book Printing
274|2741|Miscellaneous Publishing
275|2752|Commercial Printing, Lithographic
275|2754|Commercial Printing, Gravure
275|2759|Commercial Printing, Not Elsewhere Classified
276|2761|Manifold Business Forms
277|2771|Greeting Cards
278|2782|Blankbooks, Looseleaf Binders and Devices
278|2789|Bookbinding and Related Work
279|2791|Typesetting
279|2796|Platemaking and Related Services
281|2812|Alkalies and Chlorine
281|2813|Industrial Gases
281|2816|Inorganic Pigments
281|2819|Industrial Inorganic Chemicals, Not Elsewhere Classified
282|2821|Plastics Materials, Synthetic Resins, and Nonvulcanizable Elastomers
282|2822|Synthetic Rubber (Vulcanizable Elastomers)
282|2823|Cellulosic Manmade Fibers
282|2824|Manmade Organic Fibers, Except Cellulosic
283|2833|Medicinal Chemicals and Botanical Products
283|2834|Pharmaceutical Preparations
283|2835|In Vitro and In Vivo Diagnostic Substances
283|2836|Biological Products, Except Diagnostic Substances
284|2841|Soap and Other Detergents, Except Specialty Cleaners
284|2842|Specialty Cleaning, Polishing, and Sanitation Preparations
284|2843|Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants
284|2844|Perfumes, Cosmetics, and Other Toilet Preparations
285|2851|Paints, Varnishes, Lacquers, Enamels, and Allied Products
286|2861|Gum and Wood Chemicals
286|2865|Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments
286|2869|Industrial Organic Chemicals, Not Elsewhere Classified
287|2873|Nitrogenous Fertilizers
287|2874|Phosphatic Fertilizers
287|2875|Fertilizers, Mixing Only
287|2879|Pesticides and Agricultural Chemicals, Not Elsewhere Classified
289|2891|Adhesives and Sealants
289|2892|Explosives
289|2893|Printing Ink
289|2895|Carbon Black
289|2899|Chemicals and Chemical Preparations, Not Elsewhere Classified
291|2911|Petroleum Refining
295|2951|Asphalt Paving Mixtures and Blocks
295|2952|Asphalt Felts and Coatings
299|2992|Lubricating Oils and Greases
299|2999|Products of Petroleum and Coal, Not Elsewhere Classified
301|3011|Tires and Inner Tubes
302|3021|Rubber and Plastics Footwear
305|3052|Rubber and Plastics Hose and Belting
305|3053|Gaskets, Packing, and Sealing Devices
306|3061|Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods
306|3069|Fabricated Rubber Products, Not Elsewhere Classified
308|3081|Unsupported Plastics Film and Sheet
308|3082|Unsupported Plastics Profile Shapes
308|3083|Laminated Plastics Plate, Sheet, and Profile Shapes
308|3084|Plastics Pipe
308|3085|Plastics Bottles
308|3086|Plastics Foam Products
308|3087|Custom Compounding of Purchased Plastics Resins
308|3088|Plastics Plumbing Fixtures
308|3089|Plastics Products, Not Elsewhere Classified
311|3111|Leather Tanning and Finishing
313|3131|Boot and Shoe Cut Stock and Findings
314|3142|House Slippers
314|3143|Men's Footwear, Except Athletic
314|3144|Women's Footwear, Except Athletic
314|3149|Footwear, Except Rubber, Not Elsewhere Classified
315|3151|Leather Gloves and Mittens
316|3161|Luggage
317|3171|Women's Handbags and Purses
317|3172|Personal Leather Goods, Except Women's Handbags and Purses
319|3199|Leather Goods, Not Elsewhere Classified
321|3211|Flat Glass
322|3221|Glass Containers
322|3229|Pressed and Blown Glass and Glassware, Not Elsewhere Classified
323|3231|Glass Products, Made of Purchased Glass
324|3241|Cement, Hydraulic
325|3251|Brick and Structural Clay Tile
325|3253|Ceramic Wall and Floor Tile
325|3255|Clay Refractories
325|3259|Structural Clay Products, Not Elsewhere Classified
326|3261|Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories
326|3262|Vitreous China Table and Kitchen Articles
326|3263|Fine Earthenware (Whiteware) Table and Kitchen Articles
326|3264|Porcelain Electrical Supplies
326|3269|Pottery Products, Not Elsewhere Classified
327|3271|Concrete Block and Brick
327|3272|Concrete Products, Except Block and Brick
327|3273|Ready-Mixed Concrete
327|3274|Lime
327|3275|Gypsum Products
328|3281|Cut Stone and Stone Products
329|3291|Abrasive Products
329|3292|Asbestos Products
329|3295|Minerals and Earths, Ground or Otherwise Treated
329|3296|Mineral Wool
329|3297|Nonclay Refractories
329|3299|Nonmetallic Mineral Products, Not Elsewhere Classified
331|3312|Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills
331|3313|Electrometallurgical Products, Except Steel
331|3315|Steel Wiredrawing and Steel Nails and Spikes
331|3316|Cold-Rolled Steel Sheet, Strip, and Bars
331|3317|Steel Pipe and Tubes
332|3321|Gray and Ductile Iron Foundries
332|3322|Malleable Iron Foundries
332|3324|Steel Investment Foundries
332|3325|Steel Foundries, Not Elsewhere Classified
333|3331|Primary Smelting and Refining of Copper
333|3334|Primary Production of Aluminum
333|3339|Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum
334|3341|Secondary Smelting and Refining of Nonferrous Metals
335|3351|Rolling, Drawing, and Extruding Of Copper
335|3353|Aluminum Sheet, Plate, and Foil
335|3354|Aluminum Extruded Products
335|3355|Aluminum Rolling and Drawing, Not Elsewhere Classified
335|3356|Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum
335|3357|Drawing and Insulating of Nonferrous Wire
336|3363|Aluminum Die-Castings
336|3364|Nonferrous Die-Castings, Except Aluminum
336|3365|Aluminum Foundries
336|3366|Copper Foundries
336|3369|Nonferrous Foundries, Except Aluminum and Copper
339|3398|Metal Heat Treating
339|3399|Primary Metal Products, Not Elsewhere Classified
341|3411|Metal Cans
341|3412|Metal Shipping Barrels, Drums, Kegs, and Pails
342|3421|Cutlery
342|3423|Hand and Edge Tools, Except Machine Tools and Handsaws
342|3425|Saw Blades and Handsaws
342|3429|Hardware, Not Elsewhere Classified
343|3431|Enameled Iron and Metal Sanitary Ware
343|3432|Plumbing Fixture Fittings and Trim
343|3433|Heating Equipment, Except Electric and Warm Air Furnaces
344|3441|Fabricated Structural Metal
344|3442|Metal Doors, Sash, Frames, Molding, and Trim Manufacturing
344|3443|Fabricated Plate Work (Boiler Shops)
344|3444|Sheet Metal Work
344|3446|Architectural and Ornamental Metal Work
344|3448|Prefabricated Metal Buildings and Components
344|3449|Miscellaneous Structural Metal Work
345|3451|Screw Machine Products
345|3452|Bolts, Nuts, Screws, Rivets, and Washers
346|3462|Iron and Steel Forgings
346|3463|Nonferrous Forgings
346|3465|Automotive Stampings
346|3466|Crowns and Closures
346|3469|Metal Stampings, Not Elsewhere Classified
347|3471|Electroplating, Plating, Polishing, Anodizing, and Coloring
347|3479|Coating, Engraving, and Allied Services, Not Elsewhere Classified
348|3482|Small Arms Ammunition
348|3483|Ammunition, Except for Small Arms
348|3484|Small Arms
348|3489|Ordnance and Accessories, Not Elsewhere Classified
349|3491|Industrial Valves
349|3492|Fluid Power Valves and Hose Fittings
349|3493|Steel Springs, Except Wire
349|3494|Valves and Pipe Fittings, Not Elsewhere Classified
349|3495|Wire Springs
349|3496|Miscellaneous Fabricated Wire Products
349|3497|Metal Foil and Leaf
349|3498|Fabricated Pipe and Pipe Fittings
349|3499|Fabricated Metal Products, Not Elsewhere Classified
351|3511|Steam, Gas, and Hydraulic Turbines, and Turbine Generator Set Units
351|3519|Internal Combustion Engines, Not Elsewhere Classified
352|3523|Farm Machinery and Equipment
352|3524|Lawn and Garden Tractors and Home Lawn and Garden Equipment
353|3531|Construction Machinery and Equipment
353|3532|Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment
353|3533|Oil and Gas Field Machinery and Equipment
353|3534|Elevators and Moving Stairways
353|3535|Conveyors and Conveying Equipment
353|3536|Overhead Traveling Cranes, Hoists, and Monorail Systems
353|3537|Industrial Trucks, Tractors, Trailers, and Stackers
354|3541|Machine Tools, Metal Cutting Types
354|3542|Machine Tools, Metal Forming Types
354|3543|Industrial Patterns
354|3544|Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds
354|3545|Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices
354|3546|Power-Driven Handtools
354|3547|Rolling Mill Machinery and Equipment
354|3548|Electric and Gas Welding and Soldering Equipment
354|3549|Metalworking Machinery, Not Elsewhere Classified
355|3552|Textile Machinery
355|3553|Woodworking Machinery
355|3554|Paper Industries Machinery
355|3555|Printing Trades Machinery and Equipment
355|3556|Food Products Machinery
355|3559|Special Industry Machinery, Not Elsewhere Classified
356|3561|Pumps and Pumping Equipment
356|3562|Ball and Roller Bearings
356|3563|Air and Gas Compressors
356|3564|Industrial and Commercial Fans and Blowers and Air Purification Equipment
356|3565|Packaging Machinery
356|3566|Speed Changers, Industrial High-Speed Drives, and Gears
356|3567|Industrial Process Furnaces and Ovens
356|3568|Mechanical Power Transmission Equipment, Not Elsewhere Classified
356|3569|General Industrial Machinery and Equipment, Not Elsewhere
357|3571|Electronic Computers
357|3572|Computer Storage Devices
357|3575|Computer Terminals
357|3577|Computer Peripheral Equipment, Not Elsewhere Classified
357|3578|Calculating and Accounting Machines, Except Electronic Computers
357|3579|Office Machines, Not Elsewhere Classified
358|3581|Automatic Vending Machines
358|3582|Commercial Laundry, Drycleaning, and Pressing Machines
358|3585|Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment
358|3586|Measuring and Dispensing Pumps
358|3589|Service Industry Machinery, Not Elsewhere Classified
359|3592|Carburetors, Pistons, Piston Rings, and Valves
359|3593|Fluid Power Cylinders and Actuators
359|3594|Fluid Power Pumps and Motors
359|3596|Scales and Balances, Except Laboratory
359|3599|Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified
361|3612|Power, Distribution, and Specialty Transformers
361|3613|Switchgear and Switchboard Apparatus
362|3621|Motors and Generators
362|3624|Carbon and Graphite Products
362|3625|Relays and Industrial Controls
362|3629|Electrical Industrial Apparatus, Not Elsewhere Classified
363|3631|Household Cooking Equipment
363|3632|Household Refrigerators and HOme and Farm Freezers
363|3633|Household Laundry Equipment
363|3634|Electric Housewares and Fans
363|3635|Household Vacuum Cleaners
363|3639|Household Appliances, Not Elsewhere Classified
364|3641|Electric Lamp Bulbs and Tubes
364|3643|Current-Carrying Wiring Devices
364|3644|Noncurrent-Carrying Wiring Devices
364|3645|Residential Electric Lighting Fixtures
364|3646|Commercial, Industrial, and Institutional Electric Lighting Fixtures
364|3647|Vehicular Lighting Equipment
364|3648|Lighting Equipment, Not Elsewhere Classified
365|3651|Household Audio and Video Equipment
365|3652|Phonograph Records and Prerecorded Audio Tapes and Disks
366|3661|Telephone and Telegraph Apparatus
366|3663|Radio and Television Broadcasting and Communications Equipment
366|3669|Communications Equipment, Not Elsewhere Classified
367|3671|Electron Tubes
367|3672|Printed Circuit Boards
367|3674|Semiconductors and Related Devices
367|3675|Electronic Capacitors
367|3676|Electronic Resistors
367|3677|Electronic Coils, Transformers, and Other Inductors
367|3678|Electronic Connectors
367|3679|Electronic Components, Not Elsewhere Classified
369|3691|Storage Batteries
369|3692|Primary Batteries, Dry and Wet
369|3694|Electrical Equipment for Internal Combustion Engines
369|3695|Magnetic And Optical Recording Media
369|3699|Electrical Machinery, Equipment, and Supplies, Not Elsewhere
371|3711|Motor Vehicles and Passenger Car Bodies
371|3713|Truck and Bus Bodies
371|3714|Motor Vehicle Parts and Accessories
371|3715|Truck Trailers
371|3716|Motor Homes
372|3721|Aircraft
372|3724|Aircraft Engines and Engine Parts
372|3728|Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified
373|3731|Ship Building and Repairing
373|3732|Boat Building and Repairing
374|3743|Railroad Equipment
375|3751|Motorcycles, Bicycles, and Parts
376|3761|Guided Missiles and Space Vehicles
376|3764|Guided Missile and Space Vehicle Propulsion Units and Propulsion Unit Parts
376|3769|Guided Missile Space Vehicle Parts and Auxiliary Equipment, Not Elsewhere Classified
379|3792|Travel Trailers and Campers
379|3795|Tanks and Tank Components
379|3799|Transportation Equipment, Not Elsewhere Classified
381|3812|Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments
382|3821|Laboratory Apparatus and Furniture
382|3822|Automatic Controls for Regulating Residential and Commercial Environments and Appliances
382|3823|Industrial Instruments for Measurement, Display, and Control of Process Variables; and Related Products
382|3824|Totalizing Fluid Meters and Counting Devices
382|3825|Instruments for Measuring and Testing of Electricity and Electrical Signals
382|3826|Laboratory Analytical Instruments
382|3827|Optical Instruments and Lenses
382|3829|Measuring and Controlling Devices, Not Elsewhere Classified
384|3841|Surgical and Medical Instruments and Apparatus
384|3842|Orthopedic, Prosthetic, and Surgical Appliances and Supplies
384|3843|Dental Equipment and Supplies
384|3844|X-Ray Apparatus and Tubes and Related Irradiation Apparatus
384|3845|Electromedical and Electrotherapeutic Apparatus
385|3851|Ophthalmic Goods
386|3861|Photographic Equipment and Supplies
387|3873|Watches, Clocks, Clockwork Operated Devices, and Parts
391|3911|Jewelry, Precious Metal
391|3914|Silverware, Plated Ware, and Stainless Steel Ware
391|3915|Jewelers' Findings and Materials, and Lapidary Work
393|3931|Musical Instruments
394|3942|Dolls and Stuffed Toys
394|3944|Games, Toys, and Children's Vehicles, Except Dolls and Bicycles
394|3949|Sporting and Athletic Goods, Not Elsewhere Classified
395|3951|Pens, Mechanical Pencils, and Parts
395|3952|Lead Pencils, Crayons, and Artists' Materials
395|3953|Marking Devices
395|3955|Carbon Paper and Inked Ribbons
396|3961|Costume Jewelry and Costume Novelties, Except Precious Metal
396|3965|Fasteners, Buttons, Needles, and Pins
399|3991|Brooms and Brushes
399|3993|Signs and Advertising Specialties
399|3995|Burial Caskets
399|3996|Linoleum, Asphalted-Felt-Base, and Other Hard Surface Floor Coverings, Not Elsewhere Classified
399|3999|Manufacturing Industries, Not Elsewhere Classified
401|4011|Railroads, Line-Haul Operating
401|4013|Railroad Switching and Terminal Establishments
411|4111|Local and Suburban Transit
411|4119|Local Passenger Transportation, Not Elsewhere Classified
412|4121|Taxicabs
413|4131|Intercity and Rural Bus Transportation
414|4141|Local Bus Charter Service
414|4142|Bus Charter Service, Except Local
415|4151|School Buses
417|4173|Terminal and Service Facilities for Motor Vehicle Passenger Transportation
421|4212|Local Trucking Without Storage
421|4213|Trucking, Except Local
421|4214|Local Trucking With Storage
421|4215|Courier Services, Except by Air
422|4221|Farm Product Warehousing and Storage
422|4222|Refrigerated Warehousing and Storage
422|4225|General Warehousing and Storage
422|4226|Special Warehousing and Storage, Not Elsewhere Classified
423|4231|Terminal and Joint Terminal Maintenance Facilities for Motor Freight Transportation
431|4311|United States Postal Service
441|4412|Deep Sea Foreign Transportation of Freight
442|4424|Deep Sea Domestic Transportation of Freight
443|4432|Freight Transportation on the Great Lakes-St. Lawrence Seaway
444|4449|Water Transportation of Freight, Not Elsewhere Classified
448|4481|Deep Sea Transportation of Passengers, Except by Ferry
448|4482|Ferries
448|4489|Water Transportation of Passengers, Not Elsewhere Classified
449|4491|Marine Cargo Handling
449|4492|Towing and Tugboat Services
449|4493|Marinas
449|4499|Water Transportation Services, Not Elsewhere Classified
451|4512|Air Transportation, Scheduled
451|4513|Air Courier Services
452|4522|Air Transportation, Nonscheduled
458|4581|Airports, Flying Fields, and Airport Terminal Services
461|4612|Crude Petroleum Pipelines
461|4613|Refined Petroleum Pipelines
461|4619|Pipelines, Not Elsewhere Classified
472|4724|Travel Agencies
472|4725|Tour Operators
472|4729|Arrangement of Passenger Transportation, Not Elsewhere Classified
473|4731|Arrangement of Transportation of Freight and Cargo
474|4741|Rental of Railroad Cars
478|4783|Packing and Crating
478|4785|Fixed Facilities and Inspection and Weighing Services for Motor Vehicle Transportation
478|4789|Transportation Services, Not Elsewhere Classified
481|4812|Radiotelephone Communications
481|4813|Telephone Communications, Except Radiotelephone
482|4822|Telegraph and Other Message Communications
483|4832|Radio Broadcasting Stations
483|4833|Television Broadcasting Stations
484|4841|Cable and Other Pay Television Services
489|4899|Communications Services, Not Elsewhere Classified
491|4911|Electric Services
492|4922|Natural Gas Transmission
492|4923|Natural Gas Transmission and Distribution
492|4924|Natural Gas Distribution
492|4925|Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or
493|4931|Electric and Other Services Combined
493|4932|Gas and Other Services Combined
493|4939|Combination Utilities, Not Elsewhere Classified
494|4941|Water Supply
495|4952|Sewerage Systems
495|4953|Refuse Systems
495|4959|Sanitary Services, Not Elsewhere Classified
